group,current_high_count,mae,rmse,r2
B4,90,11.52202428600068,14.261583266193103,0.9036809252690293
B4,92,11.434593080488662,14.177545472596455,0.9048189372988864
B4,94,11.411892720413913,14.158335930343203,0.9050763224987423
B4,96,11.363352622678349,14.11805121111561,0.9056055880342481
B4,98,11.33358978623516,14.08020634106316,0.9061075972342809
B4,100,11.329359248172597,14.079488430898072,0.9060992268446821
B4,102,11.287251256668819,14.043454513367488,0.9065698122431094
B4,104,11.248187180679121,14.004330228971867,0.9070886857685878
B4,106,11.210896161348604,13.970753618943643,0.9075138400804932
B4,108,11.174080237550353,13.94375452252892,0.90788171881136
B4,110,11.100192545661224,13.879628942169607,0.9087355607965938
B4,112,11.059110222535173,13.82617134678149,0.9094553317814233
B4,114,10.969095415276215,13.746283834904713,0.9105137518480972
B4,116,10.899937044024828,13.684545440124278,0.9113206493622059
B4,118,10.814109927130046,13.608516819325677,0.91231639049758
B4,120,10.74987312497444,13.552368494714269,0.9130347816938924
B4,122,10.669972769312553,13.482976322618114,0.9139541215709338
B4,124,10.612813964828083,13.434032623426784,0.9145961917229684
B4,126,10.567688545821904,13.397654646547725,0.9150692435161482
B4,128,10.528195156512824,13.369985970779211,0.9154090905454906
B4,130,10.469209081790755,13.331321343923623,0.9158949256473348
B4,132,10.424603296634013,13.297451104761603,0.9163180108589559
B4,134,10.363364820535187,13.251221928272122,0.9169111635438302
B4,136,10.332659545317362,13.226276114714171,0.9172273642330389
B4,138,10.327217236137136,13.220941624368487,0.9172936545532068
B4,140,10.261294038486156,13.168484415906562,0.9179668636929781
B4,142,10.222552040576444,13.137715053986994,0.9183586446771514
B4,144,10.170394528011807,13.090926414906516,0.9189520804707392
B4,146,10.087686857381982,13.02224936881581,0.919815896715966
B4,148,10.040643795851985,12.985406818269215,0.9202824415664603
B4,150,9.966365667377625,12.926175713681365,0.921016483972165
B4,152,9.904248567326313,12.881484812608445,0.9215606406048111
B4,154,9.83336756462445,12.838847416216396,0.9220759170850752
B4,156,9.76509402916194,12.79315641449413,0.9226389486197917
B4,158,9.715422753958558,12.757199755096124,0.9230826626761953
B4,160,9.663717243497333,12.712823518907012,0.9236270500344788
B4,162,9.633457452947223,12.688031616108079,0.9239256732204073
B4,164,9.610156793049793,12.654591371654092,0.9243240017288932
B4,166,9.564379594110514,12.603275361529906,0.9249334582095546
B4,168,9.551831096591105,12.587858692606789,0.9251188270509143
B4,170,9.519684058094313,12.56250479095405,0.9254218796861708
B4,172,9.483032095714162,12.537653121173955,0.9257158524524789
B4,174,9.4448771507344,12.503601406611283,0.9261190368682384
B4,176,9.422132641880758,12.480239885191915,0.926398852652557
B4,178,9.362268391988737,12.430629118983036,0.9269949878579883
B4,180,9.331735252756166,12.406650708882033,0.9272742163507048
B4,182,9.305009995338727,12.38059671435635,0.9275736460465531
B4,184,9.251795262004183,12.330813412404504,0.928152804868469
B4,186,9.222116223907772,12.310705427116432,0.9283887822396364
