group,seed,current_high_count,mae,rmse,r2,rho
B1,342,144,7.413326911390253,10.55923653671293,0.9473826957164275,1.0
B1,342,146,7.362628618656592,10.497351250643552,0.9479976445120388,1.0
B1,342,148,7.206245790759509,10.404248907096862,0.9489159849445075,1.0
B1,342,150,7.181295048157591,10.382105559762149,0.9491331976167243,1.0
B1,342,152,7.109816128825754,10.354087970484493,0.9494073697802283,1.0
B1,342,154,7.0895596351169665,10.291861094692827,0.9500136541969545,1.0
B1,342,156,7.08593253875563,10.252681353140442,0.9503935124769742,1.0
B1,342,158,7.06802372486932,10.231378838991503,0.9505994381352316,1.0
B1,342,160,6.9261191794169035,10.146097405673478,0.9514195412164059,1.0
B1,342,162,6.846368262089926,10.09475620027486,0.9519099502278007,1.0
B1,342,164,6.83266062619638,10.075196683268747,0.9520961274589669,1.0
B1,342,166,6.8069589166043185,10.052743197387784,0.9523094057529189,1.0
B1,342,168,6.742398600596583,10.010436790329745,0.9527099674977003,1.0
B1,342,170,6.674165639380935,9.975355717018985,0.9530408378117063,1.0
B1,342,172,6.672294095715517,9.981628922240082,0.9529817567929456,1.0
B1,342,174,6.623328323639209,9.895106112721454,0.9537933515237117,1.0
B1,342,176,6.548395633070014,9.827061833459867,0.9544266520197805,1.0
B1,342,178,6.500988201388764,9.806579952801222,0.954616424944799,1.0
B1,342,180,6.399388198547335,9.759765187654414,0.9550486959601318,1.0
B1,342,182,6.332139380481338,9.732409915712122,0.955300327397141,1.0
B1,342,184,6.304967673813888,9.68754481621758,0.9557114964368031,1.0
B1,342,186,6.256961502125986,9.625396613911942,0.9562779190083475,1.0
B1,342,188,6.205176454384608,9.5256779841877,0.9571791435447644,1.0
B1,342,190,6.196325757065847,9.466217239977537,0.957712063770705,1.0
B1,342,192,6.164986131066734,9.425069824874369,0.9580788961498045,1.0
B1,342,194,6.15040543135487,9.4104422743213,0.9582089168789342,1.0
B1,342,196,6.099787350212837,9.398579978694464,0.9583142096415286,1.0
B1,342,198,6.057634016322634,9.389338738569881,0.9583961452125781,1.0
B1,342,200,6.073515402938247,9.404233586596895,0.9582640433402035,1.0
B3,342,40,11.99127757320449,14.738581298805025,0.8974879496666974,1.0
B3,342,42,12.377302241574098,15.091198563382692,0.8925241164878661,1.0
B3,342,44,12.620715816917901,15.313604038651757,0.8893329370864529,1.0
B3,342,46,12.352583856446808,15.02418939650248,0.8934764437958153,1.0
B3,342,48,12.296208337770173,14.952009043279359,0.8944975222570777,1.0
B3,342,50,12.07049513232826,14.680338301330226,0.8982965501458591,1.0
B3,342,52,11.698721738587464,14.310730602620541,0.9033532688350268,1.0
B3,342,54,11.632990888935261,14.237454170417994,0.9043404716196222,1.0
B3,342,56,11.775912848904772,14.349485106540504,0.9028291072440515,1.0
B3,342,58,11.920056473665584,14.466957711051387,0.9012316085047245,1.0
B3,342,60,11.942999438055402,14.49152949030077,0.9008958121072252,1.0
B3,342,62,11.752236822595327,14.315819409205167,0.9032845226641933,1.0
B3,342,64,11.589098695594156,14.183200566969184,0.9050681278036515,1.0
B3,342,66,11.338011818045022,13.958070750084984,0.9080579150749086,1.0
B3,342,68,11.151048972254387,13.809617598707627,0.9100032424789994,1.0
B3,342,70,10.975615568952417,13.670873681844663,0.9118025359353696,1.0
B3,342,72,10.786363389111338,13.544694848520704,0.9134231047442333,1.0
B3,342,74,10.592521395342889,13.411846904510357,0.9151130886573933,1.0
B3,342,76,10.414061380356015,13.300165370831253,0.9165209229252654,1.0
B3,342,78,10.23102652808972,13.177848181561334,0.9180493208879758,1.0
B3,342,80,10.119628539723811,13.093471404350622,0.9190954092683491,1.0
B3,342,82,10.005130382565191,13.020369297248452,0.9199962835794346,1.0
B3,342,84,9.944551670008455,12.970644916562426,0.9206061801152805,1.0
B3,342,86,9.811655926763436,12.88492147470717,0.9216521452609882,1.0
B3,342,88,9.70848816532869,12.834156841323336,0.9222682864071898,1.0
B3,342,90,9.607563652915045,12.798690862620832,0.9226973012948118,1.0
B3,342,92,9.53452200729461,12.763868279056823,0.9231173782684737,1.0
B3,342,94,9.452650331631023,12.728317873801752,0.9235450545782997,1.0
B3,342,96,9.393906005262204,12.695906768306214,0.923933925186001,1.0
B3,342,98,9.314419263857245,12.665494330270647,0.9242979139996601,1.0
B3,342,100,9.288057609658312,12.68938692412101,0.9240120309286786,1.0
B3,342,102,9.243000400310589,12.668966089731029,0.9242564066652725,1.0
B3,342,104,9.208416925314799,12.662741566867773,0.9243308171426922,1.0
B3,342,106,9.15005123340133,12.601641339143615,0.9250592928619044,1.0
B3,342,108,9.137525850102966,12.538686977907318,0.9258061891891958,1.0
B3,342,110,9.135503968052554,12.472404225923487,0.9265885313380177,1.0
B3,342,112,9.115553084320267,12.379796730260427,0.9276746431922872,1.0
B3,342,114,9.07509568100258,12.315860895855753,0.9284197670861061,1.0
B3,342,116,9.125931316635082,12.320714119910628,0.9283633417401405,1.0
B3,342,118,9.07898612020885,12.266232504632878,0.9289954888121196,1.0
B3,342,120,9.085200575810735,12.25584218915287,0.9291157289601618,1.0
B3,342,122,8.999835683728156,12.17281461405786,0.9300728910724122,1.0
B3,342,124,8.900802673866544,12.106562291885883,0.9308319966793726,1.0
B3,342,126,8.877892891650536,12.100788708046005,0.9308979529818828,1.0
B3,342,128,8.858067554391678,12.11258984523972,0.9307631055101367,1.0
B3,342,130,8.842815047193508,12.099653365937668,0.9309109192083325,1.0
B3,342,132,8.808260382129339,12.092891346839647,0.9309881199553197,1.0
B3,342,134,8.754635849595612,12.05420856587539,0.9314289246638491,1.0
B3,342,136,8.709878582523125,12.038426575184003,0.9316083606904555,1.0
B3,342,138,8.694720577945617,12.045449713197,0.9315285389583219,1.0
B3,342,140,8.651986271320329,12.029054425168747,0.9317148076904783,1.0
B3,342,142,8.638627272741493,12.047460502876511,0.9315056766821379,1.0
B3,342,144,8.59318613368962,12.014182953002479,0.931883544745079,1.0
B3,342,146,8.549774065459486,11.963316470542987,0.9324591160744522,1.0
B3,342,148,8.516926286358496,11.89267109340959,0.9332544412037875,1.0
B3,342,150,8.516325472985123,11.888703239879296,0.9332989715568379,1.0
B3,342,152,8.479576475145192,11.88769575651381,0.9333102759569718,1.0
B3,342,154,8.418145821398008,11.866109065519936,0.9335522578197586,1.0
B3,342,156,8.366788681355095,11.85225335528659,0.9337073454108504,1.0
B3,342,158,8.294751667451624,11.832715296749752,0.9339257278829122,1.0
B3,342,160,8.20452979888981,11.811118307065962,0.9341667043718042,1.0
B3,342,162,8.191062102383489,11.834989761594137,0.9339003240683335,1.0
B3,342,164,8.15385508798439,11.83824153513391,0.9338639960764962,1.0
B3,342,166,8.115300135991026,11.832402931279747,0.933929216355021,1.0
B3,342,168,8.058334659953273,11.800204648607595,0.9342883101572415,1.0
